acronym;title;rank
ICSENG;International Conference on Systems Engineering;
ICSET;IEEE International Conference on Sustainable Energy Technologies;
ICSI;International Conference on Swarm Intelligence;
ICSIP;IEEE International Conference on Signal and Image Processing;
ICSM;IEEE International Conference on Software Maintenance;A
ICSNC;International Conference on Systems and Networks Communications;
ICSOB;International Conference on Software Business;
ICSOC;International Conference on Service Oriented Computing;A-
ICSOFT;International Conference on Software and Data Technologies;
ICSP;International Conference on Signal Processing;
ICSPC;International Conference on Security in Pervasive Computing;
ICSPCS;International Conference on Signal Processing and Communication Systems;
ICSPS;International Conference Signal Processing Systems;
ICSR;IEEE International Conference on Software Reuse;B
ICSSP;International Conference on on Software and Systems Process;
ICSSSM;International Conference on Service Systems and Service Management;
ICST;International Conference on Software Testing, Verification and Validation;A-
ICSTW;International Conference on Software Testing, Verification and Validation Workshops;
ICT;International Conference on Telecommunications;
ICT4AWE;International Conference on Information and Communication Technologies for Ageing Well and E-Health;
ICTAC;International Colloquium on Theoretical Aspects of Computing;B-
ICTAI;International Conference on Tools With Artificial Intelligence;B
ICTC;International Conference on Information and Communication Technology Convergence;
ICTD;Information and Communication Technologies and Development;
ICTERI;Ict in Education, Research, and Industrial Applications;
ICTIR;International Conference on the Theory of Information Retrieval;
ICTM;International Conference on Trust Management;
ICTON;International Conference on Transparent Optical Networks;
ICTSS;International Conference on Testing Software and Systems;
ICTST;International Conference on Transport Systems Telematics;
ICUAS;International Conference on Unmanned Aircraft Systems;
ICUFN;International Conference on Ubiquitous and Future Networks;
ICUIMC;International Conference on Ubiquitous Information Management and Communication;
ICUMT;International Conference on Ultra Modern Telecommunications;
ICUWB;International Conference on Ultra-Wideband;
ICVES;IEEE International Conference on Vehicular Electronics and Safety;
ICVGIP;Indian Conference on Computer Vision, Graphics and Image Processing;
ICVR;International Conference on Virtual Reality;
ICVS;International Conference on Computer Vision Systems;
ICW , ICHSN , ICMCS , SENET;Systems Communications;
ICWAPR;International Conference on Wavelet Analysis and Pattern Recognition;
ICWE;International Conference on Web Engineering;B-
ICWL;International Conference on Web-Based Learning;
ICWMC;International Conference on Wireless and Mobile Communications;
ICWN;International Conference on Wireless Networks;
ICWS;IEEE International Conference on Web Services;A
ICWSM;Aaai International Conference on Weblogs and Social Media;A
ICYCS;International Conference for Young Computer Scientists;
IDA;Intelligent Data Analysis;B-
IDAACS;Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications;
IDC;Interaction Design and Children;B
IDDM;International Conference on Informatics & Data-Driven Medicine;
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;
IDEAS;International Database Engineering and Applications Symposium;B
IE;Intelligent Environments;
IEA-AIE;International Conference Industrial, Engineering & Other Applications Applied Intelligent Systems;
IEA/AIE;Industrial and Engineering Applications of Artificial Intelligence and Expert Systems;
IECEC;Intersociety Energy Conversion Engineering Conference;
IECI;International Conference on Industrial Electronics, Control, and Instrumentation;
IECON;Conference of the Industrial Electronics Society;
IEDM;International Electron Devices Meeting;
IEEE SEC;ACM/IEEE Symposium on Edge Computing;
IEEEAPS;IEEE Antennas and Propagation Society International Symposium;
IEEERFID;IEEE IEEE International Conference on Rfid;B
IEEM;Industrial Engineering and Engineering Management;
IEEM-IAT;Intelligent E-Government and Emergency Management;
IEMC;International Engineering Management Conference;
IEMDC;International Electric Machines and Drives Conference;
IEMSS;Intenational Environmental Modelling and Software Society;
IEMT;International Electronics Manufacturing Technology Symposium;
IES;Asia Pacific Symposium on Intelligent and Evolutionary Systems (Was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems);
IESS;International Conference on Exploring Services Science;
IET;Iet Networks;
IET-WSS;Iet Wireless Sensor Systems;
IFELC;International Free Electron Laser Conference;
IFIP-DSS;Decision Support Systems;B
IFIPAI;Ifip Artificial Intelligence;
IFIPTC-NC;International Ifip-Tc Networking Conference;
IFL;Implementation and Application of Functional Languages;
IFM;Integrated Formal Methods;B-
IFOST;International Forum on Strategic Technology;
IFSA;Ifsa World Congress;
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;B-
IGIC;IEEE International Games Innovation Conference;
IH;Information Hiding;B
IHC;Simpósio Brasileiro Sobre Fatores Humanos Em Sistemas Computacionais;
IHCI;International Conference on Interaction Design & International Development;
IHI;International Health Informatics Symposium;
IHMSC;International Conference on Intelligent Human-Machine Systems and Cybernetics;
IICAI;Indian International Conference on Artificial Intelligence;
IIH-MSP;Intelligent Information Hiding and Multimedia Signal Processing;
IIIX;Information Interaction in Context;
IIRW;International Integrated Reliability Workshop;
IIS;Intelligent Information Systems;
IISWC;IEEE International Symposium on Workload Characterization;
IIT;International Conference on Ion Implantation Technology;
IITA;Intelligent Information Technology Application;
IIWAS;Information Integration and Web-Based Applications and Services;
IJCAI;International Joint Conference on Artificial Intelligence;A++
IJCCI;International Joint Conference on Computational Intelligence;
IJCNLP;International Joint Conference on Natural Language Processing;A-
IJCNLP2;International Joint Conference on Computational Linguistics;
IJCNN;IEEE International Joint Conference on Neural Networks;A-
IJCRS (WAS RSCTC);International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing Joined With 3 Others);
IJSDIR;International Journal of Spatial Data Infrastructures Research, ,;
IKE;International Conference on Information and Knowledge Engineering;
ILP;Inductive Logic Programming;B
ILRN;International Conference of the Immersive Learning Research Network;
IM;Ifip/IEEE International Symposium on Integrated Management (Odd Years Sharing With Noms);B
IMACC;Ima International Conference on Cryptography and Coding;
IMC;Internet Measurement Conference;A+
IMCSIT;International Multiconference on Computer Science and Information Technology;
IMECS;International Multiconference of Engineers and Computer Scientists;
IMF;International Conference on It Security Incident Management and It Forensics;
IMIS;Innovative Mobile and Internet Services in Ubiquitous Computing;
IMOC;Sbmo/Mtt-S International Microwave and Optoelectronics Conference;
IMPACT;International Microsystems, Packaging, Assembly and Circuits Technology Conference;
IMR;International Meshing Roundtable Conference;
IMSCCS;International Multi-Symposiums on Computer and Computational Sciences;
IMTC;Instrumentation and Measurement Technology Conference;
IMVIP;International Machine Vision and Image Processing Conference;
IMVSP;International Symposium on Intelligent Multimedia, Video and Speech Processing;
IMW;International Conference on Infrared and Millimeter Waves;
IMWS-IWPT;IEEE Mtt-S International Microwave Workshop Series on Innovative Wireless Power Transmission;
INCOS;Intelligent Networking and Collaborative Systems;
INDIACOM;International Conference on Computing for Sustainable Global Development;
INDIAHCI;Indian Conference on Human-Computer Interaction;
INDICON;IEEE India Conference;
INDIN;IEEE International Conference on Industrial Informatics;B
INDOCRYPT;International Conference on Cryptology in India;B
INES;International Conference on Intelligent Engineering Systems;
INFOCOM;Annual Joint Conference of the IEEE Computer and Communications Societies;A++
INFOCOM WKSHPS;Conference on Computer Communications Workshops;
INFOCOMP;International Conference on Advanced Communications and Computation;
INFORMATICS;IEEE International Scientific Conference on Informatics;
INFOSCALE;Scalable Information Systems;
INFOSECCD;Information Security Curriculum Development;
INFVIS;Information Visualisation Theory and Practice;
INGN;International Conference on Intelligence in Next Generation Networks;
INISTA;International Symposium on Innovations in Intelligent Systems and Applications;
INLG;International Conference on Natural Language Generation;
INOC;International Network Optimization Conference;
INSCRYPT;Information Security and Cryptology;
INSITE;Informing Science and Information Technology Education;
INSS;International Conference on Networked Sensing Systems;
INTELEC;International Telecommunications Energy Conference;
INTERACT;Ifip Tc13 Conference on Human-Computer Interaction;B
INTERMAG;IEEE International Magnetics Conference;
INTERSPEECH;International Conference on Spoken Language Processing;A
INTETAIN;Intelligent Technologies for Interactive Entertainment;
IOLTS;IEEE International on-Line Testing Symposium;
IOT;the Internet of Things;
IOTBDS;International Conference on Internet of Things, Big Data and Security;
IPAW;International Provenance and Annotation Workshop;B-
IPCC;International Professional Communication Conference;
IPCCC;IEEE International Performance Computing and Communications Conference;B
IPCO;Conference on Integer Programming and Combinatorial Optimization;B
IPDPS;IEEE International Parallel and Distributed Processing Symposium;A
IPDPSW;IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum;
IPEC;International Symposium on Parameterized and Exact Computation;B
IPEMC;International Power Electronics and Motion Control Conference;
IPFA;International Symposium on the Physical and Failure Analysis of Integrated Circuits;
IPIN;International Conference on Indoor Positioning and Indoor Navigation;
IPMI;Information Processing in Medical Imaging;
IPMU;Information Processing and Management of Uncertainty;
IPPS;International Parallel Processing Symposium;A-
IPSN;Information Processing in Sensor Networks;A++
IPTC;Information Processing and Trusted Computing;
IPTCOMM;Principles, Systems and Applications of Ip Telecommunications;
IPTPS;International Workshop on Peer-to-Peer Systems;A-
IQEC;International Quantum Electronics Conference;
IRE;Ire International Convention Record;
IRI;IEEE International Conference on Information Reuse and Integration;
IRMMW-THZ;International Conference on Infrared, Millimeter, and Terahertz Waves;
IROS;IEEE/Rjs International Conference on Intelligent Robots and Systems;A+
IRPS;International Reliability Physics Symposium;
IRS;International Radar Symposium;
IS;IEEE International Conference on Intelligent Systems;
IS-EUD;International Symposium on End-User Development;
ISA;Information Security and Assurance;
ISAAC;International Symposium on Algorithms and Computation;B
ISABEL;Applied Sciences on Biomedical and Communication Technologies;
ISADS;International Symposium on Autonomous Decentralized Systems;
ISAGA;Conference for the International Simulation and Gaming Association;
ISAI;International Symposium on Artificial Intelligence;
ISAIM;International Symposium on Artificial Intelligence and Mathematics;
ISAP;International Symposium on Antennas and Propagation;
ISAPS;International Conference on Intelligent System Applications to Power Systems;
ISARC;International Symposium on Automation and Robotics in Construction;
ISAT;International Conference Information Systems Architecture and Technology;
ISBI;IEEE International Symposium on Biomedical Imaging: From Nano to Macro;B
ISBRA;International Symposium on Bioinformatics Research and Applications;
ISC;Information Security Conference;B-
ISCA;ACM International Symposium on Computer Architecture;A++
ISCAS;IEEE International Symposium on Circuits and Systems;A-
ISCC;IEEE Symposium on Computers and Communications;B
ISCCSP;International Symposium on Communications, Control and Signal Processing;
ISCE;International Symposium on Consumer Electronics;
ISCIS;International Symposium on Computer and Information Sciences;
ISCIT;International Symposium on Communications and Information Technologies;
ISCO;International Symposium on Combinatorial Optimisation;
ISCRAM;International Conference on Information Systems for Crisis Response and Management;
ISCSLP;International Symposium on Chinese Spoken Language Processing;
ISCV;International Symposium on Computer Vision;
ISD;International Conference on Information Systems Development;
ISDA;Intelligent Systems Design and Applications;
ISDEIV;International Symposium on Discharges and Electrical Insulation in Vacuum;
ISDOA;International Symposium on Distributed Objects and Applications;
ISDRS;International Semiconductor Device Research Symposium;
ISE;International Symposium on Electrets;
ISEC;India Software Engineering Conference;
ISECS;International Symposium on Electronic Commerce and Security;
ISEE;International Symposium on Electronics and the Environment;
ISEI;IEEE International Symposium on Electrical Insulation;
ISEIM;International Symposium on Electrical Insulating Materials;
ISER;International Symposium on Experimental Robotics;B
ISESE;International Symposium on Empirical Software Engineering;B
ISFTC;IEEE International Symposium on Fault-Tolerant Computing;
ISGC;International Symposium on Grids and Clouds (Was International Symposium on Grid Computing);
ISGT;IEEE Pes Innovative Smart Grid Technologies Conference;
ISGT EUROPE;IEEE Pes Innovative Smart Grid Technologies Europe;
ISI;IEEE Intelligence and Security Informatics;B-
ISIC;IEEE International Symposium on Intelligent Control;
ISICT;International Symposium on Information and Communication Technologies;
ISIE;International Symposium on Industrial Electronics;
ISIEA;IEEE Symposium on Industrial Electronics and Applications;
ISIP;International Symposium on Information Processing;
ISIPTA;International Symposium on Imprecise Probabilities and Their Applications;
ISIT;IEEE International Symposium on Information Theory;A-
ISITA;International Symposium on Information Theory and its Applications;
ISKE;International Conference on Intelligent Systems and Knowledge Engineering;
ISLPED;International Symposium on Low Power Electronics and Design;A
ISM;IEEE International Symposium on Multimedia;
ISMAR;International Symposium on Mixed and Augmented Reality;A
ISMIR;International Conference on Music Information Retrieval;A
ISMIS;International Syposium on Methodologies for Intelligent Systems;
ISMM;International Symposium on Memory Management;
ISMS;International Conference on Intelligent Systems, Modelling and Simulation;
ISMVL;IEEE International Symposium on Multiple-Valued Logic;
ISNCC;International Symposium on Networks, Computers and Communications;
ISNN;International Symposium on Neural Networks;
ISOCC;International Soc Design Conference;
ISOLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;
ISORC;IEEE International Symposium on Object-Oriented Real-Time Distributed Computing;B-
ISP;IEEE International Symposium on Intelligent Signal Processing,;
ISPA;IEEE International Symposium on Parallel and Distributed Processing With Applications;
ISPACS;International Symposium on Intelligent Signal Processing and Communication Systems;
ISPASS;IEEE International Symposium on Performance Analysis of Systems and Software;A-
ISPCS;International Symposium on Precision Clock Synchronization for Measurement Control and Communication;
ISPD;ACM International Symposium on Physical Design;B
ISPDC;International Symposium on Parallel and Distributed Computing;
ISPEC;Information Security Practice and Experience;
ISPLC;International Symposium on Power Line Communications and its Applications;
ISPR;Annual International Workshop on Presence;
ISPSD;International Symposium on Power Semiconductor Devices and Ic'S;
ISQED;IEEE International Symposium on Quality Electronic Design;B
ISR;International Symposium on Robotics;
ISRR;International Symposium of Robotics Research;B
ISS;ACM International Conference on Interactive Surfaces and Spaces (Was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop);
ISSA;Information Security for South Africa;
ISSAC;International Symposium on Symbolic and Algebraic Computation;B
ISSC;Irish Signals and Systems Conference;
ISSCC;IEEE International Solid-State Circuits Conference;A
ISSCS;International Symposium on Signals, Circuits and Systems;
ISSDQ;International Symposium on Spatial Data Quality;
ISSE;International Spring Seminar on Electronics Technology;
ISSM;International Symposium on Semiconductor Manufacturing;
ISSNI;International Conference on Intelligent Sensors, Sensor Networks and Information;
ISSNIP;Intelligent Sensors, Sensor Networks and Information Processing Conference;
ISSPA;Information Sciences, Signal Processing and Their Applications;
ISSPIT;International Symposium on Signal Processing and Information Technology;
ISSRE;International Symposium on Software Reliability Engineering;B
ISSS;International Symposium on Systems Synthesis;
ISSSE;International Symposium on Signals, Systems and Electronics;
ISSSTA;International Symposium on Spread Spectrum Techniques and Applications;
ISSTA;International Symposium on Software Testing and Analysis;A+
IST;International Symposium on Telecommunications;
ISTAS;International Symposium on Technology and Society;
ISTC;International Symposium on Turbo Codes and Iterative Information Processing;
ISTMWCS;Ist Mobile and Wireless Communications Summit;
ISUVR;International Symposium on Ubiquitous Virtual Reality;
ISVC;International Symposium on Visual Computing;
ISVLSI;IEEE Computer Society Annual Symposium on Vlsi;
ISWC;IEEE International Symposium on Wearable Computers;
ISWC;International Semantic Web Conference;A+
ISWCS;International Symposium on Wireless Communication Systems;B
ISWPC;International Symposium on Wireless Pervasive Computing;
ITA;International Conference on Internet Technologies and Applications;
ITAT;Conference on Theory and Practice of Information Technologies;
ITBAM;International Conference on Information Technology in Bio- and Medical Informatics;
ITC;International Test Conference;A-
ITCC;International Conference on Information Technology: Coding and Computing;
ITCS;Innovations in Theoretical Computer Science;
ITEC;IEEE Transportation Electrification Conference and Expo;
ITHERM;Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems;
ITHET;Information Technology Based Higher Education and Training;
ITI;Information Technology Interfaces;
ITICSE;Annual Conference on Innovation and Technology in Computer Science Education;B
ITNG;International Conference on Information Technology New Generations;
ITNSPS;International Telecommunications Network Strategy and Planning Symposium;
ITP;Conference on Interactive Theorem Proving (Previously Tphols, Changed in 2009);B-
ITRE;International Conference on Information Technology: Research and Education;
ITS;International Conference on Intelligent Tutoring Systems;B
ITSC;International Conference on Intelligent Transportation Systems;
ITST;International Conference on its Telecommunications;
ITW;Information Theory Workshop;B
IUI;International Conference on Intelligent User Interfaces;A
IUKM;Integrated Uncertainty in Knowledge Modelling and Decision Making;
IUS;Internaltional Ultrasonics Symposium;
IV;Intelligent Vehicles Conference;A-
IV;International Conference on Information Visualisation;B
IV-APP;Applications of Information Visualization;
IVA;Intelligent Virtual Agents;B
IVBI;Information Visualization in Biomedical Informatics;
IVCNZ;Image and Vision Computing Conference;
IVCP;Conference on Image and Video Communications and Processing;
IVEC;International Vacuum Electronics Conference;
IVESC;International Vacuum Electron Sources Conference;
IWANN;International Work-Conference on Artificial and Natural Neural Networks;
IWAT;International Workshop on Antenna Technology;
IWCE;International Workshop on Computational Electronics;
IWCIA;International Workshop on Combinatorial Image Analysis;
IWCMC;ACM International Wireless Communications and Mobile Computing Conference;B
IWCNN;IEEE International Workshop on Cellular Neural Networks and Their Applications;
IWDDC;International Waveform Diversity and Design Conference;
IWDW;International Workshop on Digital Watermarking;
IWINAC;International Work-Conference on the Interplay Between Natural and Artificial Computation;
IWOCA;International Workshop on Combinatorial Algorithm;
IWOMP;International Workshop on Openmp;
IWOS;International Workshop on Self-Organizing Systems;
IWPSE;International Workshop on Principles of Software Evolution;B-
IWPT;International Workshop/Conference on Parsing Technologies;
IWQOS;International Workshop on Quality of Service;B
IWRMC;International Workshop on Robot Motion and Control;
IWSC;International Workshop on Software Clones;
IWSEC;International Workshop on Security;
IWSM MENSURA;Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (Iwsm and Mensura Combined From 2007);
IWSM-MENSURA;International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement;
IWSSD;International Workshop on Software Specification and Design;
IWSSIP;International Conference on Systems, Signals and Image Processing;
IZS;International Zurich Seminar on Digital Communications;
JADT;International Conference on the Statistical Analysis of Textual Data;
JCC;Fall Joint Computer Conference;
JCDL;ACM IEEE Joint Conference on Digital Libraries;B
JCIS;Joint International Conference on Information Sciences;
JCLCS;Joint Conference on Lexical and Computational Semantics;
JECTPS;Joint European Conferences on Theory and Practice of Software;
JELIA;European Conference on Logics in Artificial Intelligence;B-
JICPEDESPI;Joint International Conference on Power Electronics, Drives and Energy Systems & Power India;
JMLC;Joint Modular Languages Conference;
JPRS;Joint Pattern Recognition Symposium;
JSSPP;Workshop on Job Scheduling Strategies for Parallel Processing;A-
JTRES;International Workshop on Java Technologies for Real-Time and Embedded Systems;
JURIX;International Conference on Legal Knowledge and Information Systems;
K-CAP;Knowledge Capture;B
KDD;ACM International Conference on Knowledge Discovery and Data Mining;A++
KDVIZ;Knowledge Domain Visualisation;
KEOD;International Conference on Knowledge Engineering and Ontology Development;
KES;International Conference on Knowledge-Based and Intelligent Information and Engineering Systems;B-
KES IDT;Kes International Symposium on Intelligent Decision Technologies;
KES IIMSS;International Symposium on Intelligent and Interactive Multimedia: Systems and Services;
KICSS;International Conference on Knowledge, Information, and Creativity Support Systems;
KIVS;Kommunikation in Verteilten Systemen;
KOLICALLING;Koli Calling International Conference on Computing Education Research;
KR;International Conference on Principles of Knowledge Representation and Reasoning;A+
KSEM;International Conference on Knowledge Science, Engineering and Management;
KV;Knowledge Visualization and Visual Thinking;
L@S;Learning At Scale;
LA-WEB;Latin American Web Congress;
LACL;Logical Aspects of Computational Linguistics;
LADC;Latin-American Symposium on Dependable Computing;
LAGOS;Latin-American Algorithms, Graphs and Optimization Symposium;
LAK;International Conference on Learning Analytics and Knowledge;A-
LANC;Latin America Networking Conference;
LANMAN;IEEE Lan/Man Workshop;
LANOMS;Latin American Network Operations and Management Symposium;
LAPC;Loughborough Antennas and Propagation Conference;
LATA;Language and Automata Theory and Applications;
LATIN;Latin American Symposium on Theoretical Informatics;B-
LATINCOM;IEEE Latin-American Conference on Communications;
LATINCRYPT;International Conference on Cryptology and Information Security in Latin;
LATW;IEEE Latin American Test Workshop;
LAW;Linguistic Annotation Workshop;
LBSN;Workshop on Location-Based Social Networks;
LCN;IEEE Conference on Local Computer Networks;B
LCPC;International Workshop on Languages and Compilers for Parallel Computing;B
LCTES;ACM Sigplan Conference on Languages, Tools, and Compilers for Embedded Systems;B
LDAV;IEEE Symposium on Large Data Analysis and Visualization;
LDK;Language, Data and Knowledge;
LDTA;Language Descriptions, Tools and Applications;
LEET;Usenix Conference on Large-Scale Exploits and Emergent Threats;
LENLS;Logic and Engineering of Natural Language Semantics;
LEOS;Lasers and Electro-Optics Society Meeting;
LESCPE;Large Engineering Systems Conference on Power Engineering;
LFCS;Logical Foundations of Computer Science;
LICS;IEEE Symposium on Logic in Computer Science;A+
LIGHTSEC;Workshop on Lightweight Security and Privacy: Devices, Protocols, and Applications;
LION;Learning and Intelligent Optimization;
LISA;Usenix Large Installation Systems Administration Conference;
LISAT;Long Island Systems, Applications and Technology Conference;
LOCA;Location- and Context-Awareness;
LOCWEB;International Workshop on Location and the Web;
LOPSTR;International Symposium on Logic-Based Program Synthesis and Transformation;
LPAR;Logic Programming and Automated Reasoning;B
LPNMR;International Conference on Logic Programming and Non-Monotonic Reasoning;B-
LREC;International Conference on Language Resources and Evaluation;B
LTC;Language and Technology Conference;
LVASS;International Conference on Latent Variable Analysis and Signal Separation;
MABS;International Workshop on Multi-Agent-Based Simulation;
MACIS;Macis: International Conference of Mathematical Aspects of Computer and Information Sciences;
MAHN;Annual Mediterranean Ad Hoc Networking Workshop;
MALWARE;International Conference on Malicious and Unwanted Software;
MAPE;IEEE International Symposium on Microwave, Antenna, Propagation and Emc Technologies for Wireless Communications;
MASCOTS;IEEE International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems;B
MASS;IEEE International Conference on Mobile Ad-Hoc and Sensor Systems;B
MATES;German Conference on Multiagent System Technologies;
MATES ENASE;Net Object Days (Includings Mates, Enase Etc.);
MCDM;Multiple Criteria Decision Making;
MCESA;the Multiconference on Computational Engineering in Systems Applications;
MCM;International Conference on Mathematics and Computation in Music;
MCMC;IEEE Multi-Chip Module Conference;
MCS;International Workshop on Multiple Classifier Systems;B
MCU;Machines, Computations and Universality (Was Universal Machines and Computations);
MDAI;Modeling Decisions for Artificial Intelligence;
MDM;IEEE International Conference on Mobile Data Management;B
MED;Mediterranean Conference on Control and Automation;
MEDES;International Conference on Management of Digital Ecosystems;
MEDI;International Conference on Model and Data Engineering;
MEDINFO;International Health Medical) Informatics Congress;
MELECON;Mediterranean Electrotechnical Conference;
MEMEA;IEEE International Symposium on Medical Measurements and Applications;
MEMOCODE;International Conference on Formal Methods and Models for Co-Design;
MEMS;International Conference on Micro Electro Mechanical Systems;
METRICS;IEEE International Software Metrics Symposium;
MFCS;International Symposium on Mathematical Foundations of Computer Science;B
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;
MFPS;International Conference on Mathematical Foundations of Programming Semantics;
MHS;International Symposium on Micro-Nanomechatronics and Human Science;
MIAR;International Conference on Medical Imaging and Augmented Reality;
MICAI;Mexican International Conference on Artificial Intelligence;
MICC;Malaysia International Conference on Communications;
MICCAI;Medical Image Computing and Computer-Assisted Intervention;A
MICRO;International Symposium on Microarchitecture;A
MIDDLEWARE;ACM/Ifip/Usenix International Middleware Conference;A
MIE;Medical Informatics Europe;
MIG;Motion in Games;
MILCOM;Military Communications Conference;
MINES;International Conference on Multimedia Information Networking and Security;
MIPRO;International Convention on Information and Communication Technology, Electronics and Microelectronics;
MIS;ACM Transactions on Management Information Systems;
MIS4TEL;International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning;
MISE;International Workshop on Modelling in Software Engineering;
MISSI;Multimedia and Network Information Systems;
MKM;Mathematical Knowledge Management;
MLDM;Iapr International Conference on Machine Learning and Data Mining;
MLMI;Joint Workshop on Multimodal Interaction and Related Machine Learning Algorithms (Now Icmi-Mlmi);
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;
MMAR;International Conference on Methods and Models in Automation and Robotics;
MMCS;Mathematical Methods for Curves and Surfaces;
MMEDIA;Advances in Multimedia;
MMIS;International Conference on Move to Meaningful Internet Systems;
MMM;Conference on Multimedia Modeling;
MMM-ACNS;Mathematical Methods, Models, and Architectures for Network Security Systems;
MMSP;International Workshop on Multimedia Signal Processing;B
MMSYS;ACM Sigmm Conference on Multimedia Systems;B-
MMVR;Annual Medicine Meets Virtual Reality Conference;
MOBIARCH;Mobility in the Evolving Internet Architecture;
MOBICASE;Mobile Computing, Applications, and Services;
MOBICOM;ACM International Conference on Mobile Computing and Networking;A++
MOBIDE;Data Engineering for Wireless and Mobile Access;
MOBIHOC;ACM Symposium of Mobile and Ad-Hoc Computing;A+
MOBILEHCI;International Conference on Human-Computer Interaction With Mobile Devices and Services;A-
MOBILITY;International Conference on Mobile Technology, Applications, and Systems;
MOBIQUITOUS;International Conference on Mobile and Ubiquitous Systems: Networks and Services;B
MOBISPC;International Conference on Mobile Systems and Pervasive Computing;
MOBISYS;International Conference on Mobile Systems, Applications, and Services;A
MOBIWAC;ACM International Workshop on Mobility Management and Wireless Access;
MODELICA;International Modelica Conference;
MODELS;ACM/IEEE International Conference on Model-Driven Engineering Languages and Systems;A-
MODELSWARD;International Conference on Model-Driven Engineering and Software Development;
MOMM;Advances in Mobile Multimedia;
MOPTA;Modelling and Optimization: Theory and Applications;
MPAC;Workshop on Middleware for Pervasive and Ad-Hoc Computing;
MPC;Mathematics of Program Construction;
MPLR;International Conference on Managed Programming Languages and Runtimes (Was Manlang and Previously Principles and Practice of Programming in Java: Pppj);
MRWC;International Conference on Microwaves, Radar & Wireless Communications;
MSE;International Conference on Microelectronic Systems Education;
MSN;International Conference on Mobile Ad-Hoc and Sensor Networks;
MSR;IEEE International Working Conference on Mining Software Repositories;A
MSST;IEEE Conference on Mass Storage Systems and Technologies;
MSWIM;ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems;B
MT SUMMIT;Machine Translation Summit;
MTAPII;Multimedia Technology for Asia-Pacific Information Infrastructure;
MTDT;Memory Technology, Design and Testing;
MTNS;International Symposium on the Mathematical Theory of Networks and Systems;
MTSR;International Conference on Metadata and Semantics Research;
MTV;Microprocessor Test and Verification;
MUC;Mensch & Computer;
MUE;Multimedia and Ubiquitous Engineering;
MUM;International Conference on Mobile and Ubiquitous Multimedia;B-
MVA;Machine Vision Applications;B-
MVC;IEEE Workshop on Motion and Video Computing;
MWCAS;Midwest Symposium on Circuits and Systems;
MWCN;Mobile and Wireless Communication Networks;
MWP;International Topical Meeting on Microwave Photonics;
MWSCAS;International Midwest Symposium on Circuits and Systems;
NAACL;North American Association for Computational Linguistics;A+
NABIC;Nature and Biologically Inspired Computing;
NAECON;National Aerospace and Electronics Conference;
NAFIPS;North American Fuzzy Information Processing Society;
NANO;International Conference on Nanotechnology;
NANOARCH;IEEE/ACM International Symposium on Nanoscale Architectures;
NAPS;North American Power Symposium;
NAS;Networking, Architecture and Storages;
NBIS;Network-Based Information Systems;
NCA;IEEE International Symposium on Network Computing and Applications;B
NCC;National Computer Conference;
NCM;Networked Computing and Advanced Information Management;
NDSS;Network and Distributed System Security Symposium;A+
NDT;Networked Digital Technologies;
NEBEC;Northeast Bioengineering Conference;
NER;International IEEE/Embs Conference on Neural Engineering;
NETGAMES;Network and System Support for Games;B
NETSOFT;IEEE Conference on Network Softwarization;
NETWORKING;Ifip International Conference on Networking;B
NEURIPS;Neural Information Processing Systems;A++
NEW2AN;Next Generation Teletraffic and Wired/Wireless Advanced Networking;
NEWCAS;International New Circuits and Systems Conference;
NFM;Nasa Formal Methods;
NGI;Next Generation Internet;
NGMAST;Next Generation Mobile Applications, Services and Technologies;
NIME;New Interfaces for Music Expression;B
NLDB;Applications of Natural Language to Data Bases;
NMR;Non-Monotonic Reasoning;
NNPS;International Forum on Applications of Neural Networks to Power Systems;
NNSP;International Conference on Neural Networks and Signal Processing;
NOCS;International Symposium on Networks-on-Chip;A-
NOMS;IEEE Network Operations and Management Symposium;B
NORCHIP;Norchip;
NORDICHI;Nordic Conference on Human-Computer Interaction;B
NORDSEC;Nordic Conference on Secure It Systems;
NOSSDAV;Network and Operating System Support for Digital Audio and Video;A-
NPAR;Non-Photorealistic Animation and Rendering;A-
NPC;Ifip International Conference on Network and Parallel Computing;
NRSC;National Radio Science Conference;
NSDI;Networked Systems Design and Implementation;A
NSDR;ACM Workshop on Networked Systems for Developing Regions;
NSPW;New Security Paradigms Workshop;B-
NSS;International Conference on Network and System Security;
NSS/MIC;Nuclear Science Symposium and Medical Imaging Conference;
